formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
KF,KF,4.472e+01,6.611e+01,8.975e+01,1.017e+02,1.137e+02,,,,,1.500e+02,,
KH2PO4,KP(HO2)2,1.330e+01,1.752e+01,2.232e+01,2.495e+01,2.783e+01,3.383e+01,4.075e+01,4.872e+01,5.810e+01,6.938e+01,8.318e+01,1.005e+02
KHCO3,KHCO3,2.288e+01,2.776e+01,3.319e+01,3.624e+01,3.914e+01,4.560e+01,5.258e+01,6.003e+01,6.793e+01,,,
KHSO4,KHSO4,3.717e+01,4.225e+01,4.771e+01,5.060e+01,5.385e+01,6.077e+01,6.807e+01,7.668e+01,8.587e+01,9.616e+01,1.076e+02,1.203e+02
KI,KI,1.273e+02,1.358e+02,1.439e+02,1.481e+02,1.525e+02,1.604e+02,1.688e+02,1.762e+02,1.841e+02,1.916e+02,1.994e+02,2.068e+02
KIO3,KIO3,4.740e+00,6.340e+00,8.190e+00,9.220e+00,1.030e+01,1.247e+01,1.523e+01,1.805e+01,2.108e+01,2.435e+01,2.784e+01,3.163e+01
KIO4,KIO4,1.600e-01,2.200e-01,3.700e-01,5.100e-01,7.000e-01,1.260e+00,2.000e+00,2.910e+00,3.970e+00,5.140e+00,6.410e+00,7.720e+00
KMnO4,KMnO4,2.820e+00,4.300e+00,6.340e+00,7.600e+00,9.030e+00,1.250e+01,1.685e+01,2.219e+01,,,,
KNO2,KNO2,2.802e+02,2.937e+02,3.049e+02,3.115e+02,3.167e+02,3.292e+02,3.425e+02,3.546e+02,3.651e+02,3.785e+02,3.902e+02,4.025e+02
KNO3,KNO3,1.364e+01,2.136e+01,3.193e+01,3.831e+01,4.556e+01,6.287e+01,8.416e+01,1.092e+02,1.381e+02,1.703e+02,2.058e+02,2.425e+02
